,driver_id,day_of_week,total_days,total_requests,total_assigned,avg_rating,completed_rides,ACR,status,avg_fare
119,5309384,6,7,41,357,3.666666667,14,0.039215686,COMPLETED,97.42857143
120,3564741,7,2,2,25,5.0,1,0.04,COMPLETED,69.0
121,4024081,5,7,67,625,4.333333333,25,0.04,COMPLETED,75.36
122,5176672,6,2,3,25,4.307563701,1,0.04,CANCELED,80.0
123,5195083,3,5,37,100,5.0,4,0.04,COMPLETED,104.25
124,5362325,4,3,7,25,4.0,1,0.04,COMPLETED,156.0
125,5179341,2,3,7,74,3.0,3,0.040540541,COMPLETED,87.66666667
126,3466729,6,2,4,48,5.0,2,0.041666667000000004,CANCELED,72.5
127,3944425,2,2,2,24,4.0,1,0.041666667000000004,COMPLETED,74.0
128,4845310,1,2,6,24,4.307563701,1,0.041666667000000004,CANCELED,82.0
129,5109577,3,2,4,48,4.0,2,0.041666667000000004,COMPLETED,102.5
130,5295742,7,3,5,96,3.0,4,0.041666667000000004,COMPLETED,111.75
131,4028165,2,7,55,308,4.714285714,13,0.042207792,COMPLETED,123.6923077
132,5164474,5,5,39,142,5.0,6,0.042253520999999995,COMPLETED,87.33333333
133,5122519,1,7,79,211,4.333333333,9,0.042654028,COMPLETED,123.44444440000001
134,3820852,1,3,13,93,5.0,4,0.043010753,COMPLETED,88.75
135,4740161,1,5,18,162,5.0,7,0.043209877,COMPLETED,94.57142857
136,4645382,1,1,3,23,4.307563701,1,0.043478261,CANCELED,94.0
137,4965828,3,1,2,23,5.0,1,0.043478261,COMPLETED,163.0
138,5265992,2,2,5,46,4.0,2,0.043478261,COMPLETED,60.0
139,5289626,2,2,17,23,4.0,1,0.043478261,CANCELED,73.0
140,2931665,4,5,11,111,4.333333333,5,0.045045045,COMPLETED,83.8
141,4705148,2,3,14,111,4.5,5,0.045045045,COMPLETED,92.0
142,3864586,2,6,46,220,3.285714286,10,0.045454545,COMPLETED,79.4
143,4132052,2,2,6,44,4.307563701,2,0.045454545,COMPLETED,157.0
144,4519589,3,1,3,22,4.0,1,0.045454545,COMPLETED,57.0
145,4741637,7,1,2,22,4.0,1,0.045454545,COMPLETED,96.0
146,4803005,5,2,3,44,5.0,2,0.045454545,COMPLETED,132.0
147,5070127,3,1,1,22,4.0,1,0.045454545,COMPLETED,175.0
148,5385040,3,4,28,132,5.0,6,0.045454545,COMPLETED,85.66666667
149,4639206,2,5,26,175,4.666666667,8,0.04571428599999999,COMPLETED,133.375
150,5361875,2,4,17,175,4.5,8,0.04571428599999999,COMPLETED,92.0
151,4465138,5,6,64,284,4.75,13,0.045774648,COMPLETED,95.23076923
152,5265446,2,3,26,218,3.5,10,0.04587156,COMPLETED,119.8
153,5113855,4,5,60,260,3.666666667,12,0.046153846,COMPLETED,95.75
154,4221617,3,4,18,107,2.5,5,0.046728972,COMPLETED,152.2
155,5398076,4,3,65,170,4.0,8,0.047058824000000006,COMPLETED,88.375
156,4705535,7,7,71,610,4.066666667,29,0.047540984,COMPLETED,89.10344828
157,4968719,7,1,10,42,5.0,2,0.047619048,COMPLETED,114.5
158,4983816,5,1,2,21,4.0,1,0.047619048,COMPLETED,110.0
159,5050579,3,2,4,42,5.0,2,0.047619048,COMPLETED,92.5
160,4041156,7,2,10,41,3.0,2,0.048780488,COMPLETED,76.0
161,4579638,4,4,14,205,4.5,10,0.048780488,COMPLETED,88.6
162,5237534,2,5,27,82,4.5,4,0.048780488,CANCELED,45.0
163,4524411,3,3,49,102,3.75,5,0.049019608,COMPLETED,128.6
164,3609933,2,5,11,162,4.4,8,0.04938271599999999,COMPLETED,106.375
165,5265927,4,4,5,81,4.5,4,0.04938271599999999,COMPLETED,106.0
166,3439779,1,1,2,40,5.0,2,0.05,COMPLETED,128.0
167,3883737,2,1,1,20,4.307563701,1,0.05,COMPLETED,134.0
168,5211305,1,6,63,200,4.0,10,0.05,COMPLETED,103.5
169,5229395,1,1,1,20,5.0,1,0.05,COMPLETED,45.0
170,5239873,6,7,32,260,4.666666667,13,0.05,COMPLETED,92.15384615
171,2974966,3,7,55,318,4.571428571,16,0.050314465,COMPLETED,100.4375
172,5368344,6,7,49,275,4.428571429,14,0.050909091,COMPLETED,93.21428571
173,5264442,6,3,8,78,5.0,4,0.051282050999999995,COMPLETED,111.0
174,5051512,1,5,11,136,4.75,7,0.051470588,COMPLETED,135.0
175,2936464,2,2,12,58,4.0,3,0.051724137999999996,COMPLETED,66.66666667
176,3821690,1,5,43,232,4.8571428569999995,12,0.051724137999999996,COMPLETED,96.66666667
177,3978052,1,3,8,116,4.0,6,0.051724137999999996,COMPLETED,95.83333333
178,5219143,2,3,7,58,5.0,3,0.051724137999999996,COMPLETED,135.66666669999998
179,4666083,7,6,39,385,4.375,20,0.051948052,COMPLETED,144.95
180,5258650,5,4,27,115,3.75,6,0.052173912999999995,COMPLETED,96.66666667
181,3361417,4,1,1,19,4.307563701,1,0.052631579000000005,COMPLETED,91.0
