driver_id,day_of_week,Hour,Minute,total_assigned_request,avg_rating,completed_rides,ACR,status,ride_duration_hour,total_distance_covered_km
5271687,1,5,48,59,4.277777778,49,0.83,COMPLETED,13.82972222,221.84
5271768,1,13,55,76,4.694444444,65,0.86,COMPLETED,15.60416667,260.273
5271863,4,14,2,44,4.4,26,0.59,COMPLETED,9.076944444,125.93
5272224,3,9,12,23,4.545454545,20,0.87,COMPLETED,6.4825,98.728
5272393,4,21,7,14,5,10,0.71,COMPLETED,2.466111111,44.85
5272414,4,17,54,25,3.888888889,18,0.72,COMPLETED,5.298055556,95.299
5272555,2,8,33,29,3.9,21,0.72,COMPLETED,1.888611111,42.861
5272566,7,12,10,6,5,4,0.67,COMPLETED,0.167222222,1.651
5272682,3,19,28,61,4.291666667,50,0.82,COMPLETED,13.94972222,267.96
5273061,7,3,29,83,4.166666667,29,0.35,COMPLETED,4.95,98.859
5273096,1,18,23,67,4.375,35,0.52,COMPLETED,8.765277778,151.629
5273180,2,6,2,71,3.939393939,60,0.85,COMPLETED,13.17333333,286.469
5273325,4,20,41,13,5,9,0.69,COMPLETED,1.647777778,30.565
5273458,1,10,39,36,5,26,0.72,COMPLETED,6.127777778,92.658
5273459,5,8,15,42,4.285714286,30,0.71,COMPLETED,7.455833333,140.658
5273682,7,11,43,22,4.272727273,19,0.86,COMPLETED,4.399166667,65.826
5274023,3,16,0,3,,0,0,CANCELED,,
5274185,3,21,15,19,4.888888889,15,0.79,COMPLETED,3.989722222,90.029
5274896,2,8,10,7,4.4,6,0.86,COMPLETED,1.915,30.24
5275005,4,17,23,4,4,3,0.75,COMPLETED,1.101388889,13.954
5275594,3,10,2,121,4.473684211,74,0.61,COMPLETED,20.395,346.729
5276036,7,21,12,25,3.8,18,0.72,COMPLETED,5.255555556,111.495
5276173,7,12,29,41,4.529411765,29,0.71,COMPLETED,7.514722222,136.735
5277578,1,20,30,21,4,7,0.33,COMPLETED,1.393611111,25.589
5280558,2,9,59,74,4.1875,58,0.78,COMPLETED,14.06833333,247.568
5280589,1,11,36,11,4.5,8,0.73,COMPLETED,2.609722222,39.268
5285685,5,20,12,56,4.3125,29,0.52,COMPLETED,7.609444444,136.342
5285826,6,14,4,41,3.444444444,19,0.46,COMPLETED,5.134722222,75.597
5285833,2,19,2,7,5,4,0.57,COMPLETED,1.029722222,15.202
5285902,7,6,40,81,4.222222222,33,0.41,COMPLETED,9.478333333,159.212
5286057,1,7,37,65,4.304347826,49,0.75,COMPLETED,13.12166667,207.273
5286388,7,18,49,109,4,69,0.63,COMPLETED,19.18916667,290.785
5286475,4,8,54,27,4.25,6,0.22,COMPLETED,1.333611111,21.971
5286519,2,12,44,20,4.5,6,0.3,COMPLETED,1.432777778,26.363
5286608,2,19,46,4,5,3,0.75,COMPLETED,0.714444444,11.72
5286640,5,8,43,29,4.583333333,24,0.83,COMPLETED,5.800833333,105.239
5286799,1,10,30,9,5,5,0.56,COMPLETED,1.100833333,22.092
5286887,1,19,21,8,4,4,0.5,COMPLETED,0.693055556,14.424
5286942,1,19,6,3,,2,0.67,COMPLETED,1.293888889,18.313
5286978,2,18,16,77,4.24137931,49,0.64,COMPLETED,12.87611111,219.253
5287180,6,11,51,9,4.666666667,5,0.56,COMPLETED,1.413611111,24.606
5287268,5,8,22,35,4.461538462,28,0.8,COMPLETED,5.22,87.559
5287308,2,18,55,17,4.75,11,0.65,COMPLETED,2.515,38.59
5287650,4,13,36,10,2,6,0.6,COMPLETED,1.178055556,22.503
5288212,1,9,26,29,3.785714286,26,0.9,COMPLETED,4.775833333,90.879
5288367,4,17,24,32,3.9375,24,0.75,COMPLETED,7.469722222,135.912
5288834,5,12,39,32,5,12,0.38,COMPLETED,2.336666667,48.726
5289038,2,6,8,68,,0,0,CANCELED,,
5289067,1,12,32,29,3.818181818,16,0.55,COMPLETED,2.271666667,38.193
5289364,7,23,0,125,4.326086957,91,0.73,COMPLETED,24.10611111,523.371
5289482,7,22,22,16,4.6,12,0.75,COMPLETED,2.231111111,36.268
5289561,6,19,4,107,4.3125,71,0.66,COMPLETED,15.38916667,253.962
5289574,5,10,29,25,4.5,16,0.64,COMPLETED,5.864722222,95.039
5289626,2,10,18,17,4,1,0.06,CANCELED,0.094166667,2.871
5289711,4,16,59,20,4.727272727,17,0.85,COMPLETED,6.3225,100.7
5289967,5,21,59,141,4.222222222,37,0.26,COMPLETED,10.11,178.717
5289981,4,11,41,16,4.666666667,12,0.75,COMPLETED,3.689166667,54.514
5290055,1,6,9,2,4,1,0.5,COMPLETED,0.121666667,3.385
5291593,1,9,54,9,4.333333333,5,0.56,COMPLETED,0.902777778,17.924
5291911,1,17,55,30,4.4,23,0.77,COMPLETED,6.794166667,123.843
5293143,4,20,31,53,4.5,35,0.66,COMPLETED,7.468888889,162.664
5293470,5,11,3,7,5,6,0.86,COMPLETED,2.085555556,17.52
