,driver_id,day_of_week,total_days,Hour,Minute,passenger_id,total_requests,total_assigned,avg_rating,completed_rides,ACR,status,ride_duration_hour,total_distance_covered_km,avg_fare,abandoned_trips,% completed_rides,canceled_rides
89,5295754,1,7,15,19,3886603,68,339,4.434782609,43,0.126843658,1,0.034444444,28.395,51.30232558,271,63.23529411764706,25
90,5294513,7,7,19,16,5426738,41,224,4.571428571,24,0.107142857,1,5.784444444,98.634,92.54166667,183,58.536585365853654,17
91,5289967,5,7,21,59,3761321,141,254,4.222222222,37,0.145669291,1,10.11,178.717,108.7027027,113,26.24113475177305,104
92,5289561,6,7,19,4,4303549,107,361,4.3125,71,0.19667590000000001,1,15.38916667,253.96200000000002,86.32394366,254,66.35514018691589,36
93,5289364,7,7,23,0,4824497,125,475,4.326086957,91,0.191578947,1,24.10611111,523.371,128.4945055,350,72.8,34
94,5285902,7,7,6,40,3974376,81,155,4.222222222,33,0.21290322600000003,1,9.478333333,159.21200000000002,105.87878789999999,74,40.74074074074074,48
95,5285826,6,7,14,4,4788892,41,295,3.4444444439999997,19,0.06440678,1,5.134722222,75.597,92.42105263,254,46.34146341463415,22
96,5276173,7,7,12,29,3827317,41,232,4.529411765,29,0.125,1,7.5147222220000005,136.735,106.0,191,70.73170731707317,12
97,5273459,5,7,8,15,5092901,42,126,4.285714286,30,0.23809523800000001,1,7.455833332999999,140.658,106.33333329999999,84,71.42857142857143,12
98,5273061,7,7,3,29,4613390,83,173,4.166666667,29,0.167630058,1,4.95,98.859,92.65517241,90,34.93975903614458,54
99,5264376,2,7,12,2,5298578,136,216,4.0,92,0.425925926,1,18.29472222,357.415,96.52173913,80,67.64705882352942,44
100,5264240,3,7,18,58,3933959,56,86,4.666666667,41,0.476744186,1,9.098055556,179.937,100.6097561,30,73.21428571428571,15
101,5256496,3,7,19,35,4661882,24,102,4.333333333,9,0.088235294,1,0.080277778,31.3,83.77777778,78,37.5,15
102,5255479,6,7,7,17,4660564,169,248,4.3859649119999995,121,0.487903226,1,33.88888889,620.066,109.9586777,79,71.59763313609467,48
103,5250030,5,7,17,37,4776168,56,425,4.0,23,0.054117647000000005,1,5.795833332999999,96.67200000000001,95.91304348,369,41.07142857142857,33
104,5249531,5,7,17,20,5407322,83,252,4.185185185,48,0.19047619,1,3.3444444439999996,144.709,82.0625,169,57.831325301204814,35
105,5239873,6,7,16,14,4645018,32,260,4.666666667,13,0.05,1,3.192777778,48.474,92.15384615,228,40.625,19
106,5233854,1,7,17,47,4671820,46,71,4.65,36,0.507042254,1,7.146388889,158.556,99.19444444,25,78.26086956521739,10
107,5228217,4,7,16,31,4762783,74,193,4.266666667,27,0.13989637300000002,1,0.18583333300000002,53.674,66.33333333,119,36.486486486486484,47
108,5226694,7,7,4,8,5204165,61,130,4.695652174,45,0.346153846,1,11.78388889,236.00400000000002,112.1111111,69,73.77049180327869,16
109,5225414,4,7,19,50,3041474,30,211,3.666666667,13,0.061611374000000003,1,2.7338888889999997,59.049,102.1538462,181,43.333333333333336,17
110,5225384,2,7,19,27,5143254,97,342,4.0,44,0.128654971,1,8.740277778,142.274,82.52272727,245,45.36082474226804,53
111,5225058,5,7,13,24,3782543,85,156,4.259259258999999,60,0.384615385,1,13.28861111,274.051,102.2666667,71,70.58823529411765,25
112,5221083,3,7,6,17,5306069,174,261,3.977777778,114,0.43678160899999996,1,31.0625,549.606,105.4035088,87,65.51724137931035,60
113,5220164,5,7,11,24,4864725,55,103,4.19047619,40,0.388349515,1,10.99,192.768,107.775,48,72.72727272727273,15
114,5217691,2,7,19,27,4192767,127,183,4.447368421,80,0.43715847,1,22.48861111,426.165,118.1625,56,62.99212598425197,47
115,5213377,1,7,12,45,4039987,100,205,4.421052632,71,0.34634146299999996,1,21.11777778,398.764,116.8732394,105,71.0,29
116,5212182,1,7,11,24,3049246,147,257,4.1578947369999995,76,0.295719844,1,12.60694444,223.84099999999998,78.48684211,110,51.70068027210885,71
117,5210834,4,7,20,6,5196596,56,312,3.791666667,41,0.131410256,1,9.218888889,169.525,98.02439024,256,73.21428571428571,15
118,5206192,5,7,22,22,5040844,135,146,4.536585366000001,96,0.6575342470000001,1,21.1025,433.839,107.32291670000001,11,71.11111111111111,39
119,5204269,3,7,12,39,4827732,96,231,4.464285714,55,0.23809523800000001,1,10.84916667,156.539,78.32727273,135,57.291666666666664,41
120,5204223,1,7,11,21,3829789,61,133,4.083333333,30,0.22556391,1,10.81,165.38,116.5,72,49.18032786885246,31
121,5196817,2,7,11,17,5018105,61,195,4.47826087,46,0.23589743600000002,1,14.80055556,254.342,117.19565220000001,134,75.40983606557377,15
