,driver_id,day_of_week,Hour,Minute,passenger_id,total_assigned_request,avg_rating,completed_rides,total_canceled_ride,ACR,status,ride_duration_hour,total_distance_covered_km,undiscounted_fare
115,3360438,7,16,3,4945116,34,4.090909091,27,7,0.79,COMPLETED,7.436111111,96.782,93
116,3361083,6,18,30,3972303,1,,0,1,0,CANCELED,,,
117,3362531,3,18,54,5240517,10,4,8,2,0.8,COMPLETED,1.626111111,33.235,84
118,3367068,3,19,53,4540703,40,4,1,39,0.03,CANCELED,0.001111111,3.992,
119,3367258,4,8,43,4742129,9,4.5,5,4,0.56,COMPLETED,1.303611111,27.118,117
120,3369332,4,13,54,4933178,19,5,7,12,0.37,COMPLETED,1.181666667,29.862,192
121,3370384,4,18,14,4915854,23,4.625,15,8,0.65,COMPLETED,1.126388889,14.869,66
122,3377506,2,15,43,5369514,1,,0,1,0,CANCELED,,,
123,3379506,2,12,24,3591266,39,4,28,11,0.72,COMPLETED,6.736111111,123.586,46
124,3393179,4,20,37,4931277,25,4.357142857,24,1,0.96,COMPLETED,6.183333333,115.113,120
125,3394918,4,11,2,4334655,63,4.533333333,27,36,0.43,COMPLETED,6.65,125.264,78
126,3399291,4,10,54,5330988,33,3.5,3,30,0.09,COMPLETED,0.278888889,4.475,66
127,3399348,2,21,14,4808711,13,,1,12,0.08,COMPLETED,0.073888889,1.714,61
128,3399525,4,20,6,4876971,39,4.769230769,20,19,0.51,COMPLETED,3.92,81.841,151
129,3401681,4,21,24,3271592,39,4.75,13,26,0.33,COMPLETED,3.409722222,59.763,60
130,3402457,6,12,13,5271745,19,5,7,12,0.37,COMPLETED,2.76,39.337,229
131,3415421,3,0,46,4930452,1,,0,1,0,CANCELED,,,
132,3419580,7,18,15,4791762,43,3.833333333,14,29,0.33,COMPLETED,3.798611111,53.322,139
133,3421197,3,8,50,4152809,40,3.947368421,30,10,0.75,COMPLETED,8.312777778,162.447,74
134,3421486,1,10,19,3252228,12,4.333333333,3,9,0.25,COMPLETED,0.841944444,16.224,219
135,3422168,1,10,37,5393916,29,4,16,13,0.55,COMPLETED,5.060277778,126.816,170
136,3424125,3,6,15,5037435,18,4.375,13,5,0.72,COMPLETED,3.057222222,61.477,138
137,3427546,1,21,0,3475245,1,,0,1,0,CANCELED,,,
138,3433573,3,10,48,3039756,27,4.333333333,20,7,0.74,COMPLETED,5.6225,87.697,74
139,3434085,1,12,40,4400689,2,,1,1,0.5,COMPLETED,0.676944444,10.537,188
140,3434940,2,14,53,4328943,41,4,19,22,0.46,COMPLETED,3.546111111,66.22,63
141,3435189,4,21,34,5154501,60,4.4375,33,27,0.55,COMPLETED,9.191111111,195.807,106
142,3437386,5,12,13,3511973,4,,2,2,0.5,COMPLETED,0.6625,5.4,77
143,3439844,3,16,29,5369166,8,4,1,7,0.13,CANCELED,0.189722222,3.287,
144,3442931,4,21,53,4721722,86,4.5,38,48,0.44,COMPLETED,12.17972222,212.371,84
145,3446102,4,17,22,5384864,11,3.8,10,1,0.91,COMPLETED,0.383888889,15.341,155
