,ride_id,driver_id,total_assigned
603,78F051,4129097,2
604,78GIDO,4129108,37
605,78F8RD,4132052,44
606,78LHF5,4132858,7
607,78KNDT,4141462,30
608,78B2DE,4144888,3
609,795190,4146452,15
610,78NJDQ,4147509,110
611,78HO98,4148609,29
612,78LIPK,4148928,81
613,79259F,4149121,49
614,78Q0K0,4150138,26
615,78KJLT,4152817,33
616,7959P0,4153896,17
617,79065O,4153934,85
618,78B3SO,4155397,31
619,78OGRT,4155636,144
620,78O7LD,4155865,2
621,78CJC7,4156948,20
622,78MRT5,4157224,106
623,78B38A,4165162,31
624,7975P7,4172910,1
625,78HFM3,4174398,63
626,796ACQ,4180399,5
627,78GE3H,4181160,10
628,792JI0,4182411,81
629,7991DT,4183165,7
630,78CLSD,4186284,70
631,78J4DG,4186299,38
632,78D8I2,4186691,14
633,78DQM0,4186809,349
634,78PSGD,4187267,10
635,79AEEP,4187580,79
636,78Q51T,4189983,84
637,78ASA4,4192936,45
638,78BB3R,4193386,63
639,79B422,4194105,9
640,791P79,4194714,4
641,78EACT,4195178,1
642,78C7NN,4195199,93
643,791412,4195214,15
644,78F51O,4195279,19
645,7920TP,4195371,44
646,78QNQE,4195507,25
647,7927GO,4195544,169
648,78JO92,4197119,2
649,78FAC3,4204467,35
650,78AB88,4205399,1
651,7913TS,4206397,22
652,78CQ6F,4207288,232
653,790JT6,4210795,2
654,78JEQ1,4211431,51
655,78MEJQ,4211898,55
656,78B4FJ,4212020,5
657,78C24I,4212117,219
658,7992P7,4212318,65
659,78QG8S,4212401,11
660,78PJ7O,4214612,7
661,79A8LL,4214831,1
662,79859H,4215160,5
663,78DPH6,4215795,84
664,78RHRM,4216761,54
665,78LBQN,4221617,107
666,78M781,4223884,1
667,794DHB,4223972,3
668,7980RM,4224489,5
669,78RBM2,4224505,1
670,78CKDM,4225010,36
671,78J48D,4226144,27
672,78B95M,4228298,155
673,78POJ1,4228535,4
674,78G8JE,4233014,1
675,791KPJ,4233451,2
676,78FLL1,4233487,15
677,78DDE1,4233511,6
678,78NP99,4233558,238
