,Unnamed: 0,driver_id,day_of_week,total_days,Hour,Minute,passenger_id,total_requests,total_assigned,avg_rating,completed_rides,ACR,status,ride_duration_hour,total_distance_covered_km,avg_fare,abandoned_trips,% completed_rides,canceled_rides,driver_id,total_monthly_trips
69,704,3109117,2,6,14,0,4464862,37,76,4.1111111110000005,25,0.328947368,1,6.299722222000001,137.793,117.32,39,67.56756756756756,12,3109117,67
70,703,3110182,2,6,21,30,4716039,45,208,4.0,25,0.120192308,1,7.437777777999999,147.32,123.88,163,55.555555555555564,20,3110182,133
71,2375,3112556,5,2,18,1,3627200,3,14,5.0,2,0.14285714300000002,0,0.551944444,6.943,86.0,11,66.66666666666666,1,3112556,4
72,1552,3119416,2,4,14,37,5382360,36,129,4.2352941180000006,26,0.201550388,1,4.992222222,95.37,85.80769231,93,72.2222222222222,10,3119416,123
73,1148,3119763,1,5,10,33,4123674,22,54,3.5555555560000003,21,0.388888889,1,7.5836111110000015,135.732,128.6666667,32,95.45454545454544,1,3119763,120
74,2374,3120350,2,2,15,13,3054033,9,29,4.0,6,0.206896552,1,2.81,52.252,163.33333330000005,20,66.66666666666666,3,3120350,27
75,2373,3132746,1,2,15,16,4398515,12,20,2.5,3,0.15,1,1.168611111,15.487,106.3333333,8,25.0,9,3132746,12
76,1147,3132920,3,5,16,58,4879214,43,110,4.454545455,34,0.309090909,1,10.26111111,178.977,114.9705882,67,79.06976744186046,9,3132920,106
77,702,3143007,5,6,6,43,3979189,110,214,4.333333333,93,0.434579439,1,24.63333333,482.906,116.4193548,104,84.54545454545455,17,3143007,263
78,1146,3145120,1,5,13,43,3773814,28,58,5.0,6,0.103448276,1,1.144722222,20.504,85.0,30,21.428571428571427,22,3145120,47
79,1145,3153368,3,5,9,49,5100476,24,45,4.214285714,21,0.466666667,1,4.420555556,82.773,92.47619048,21,87.5,3,3153368,81
80,1958,3174762,7,3,14,1,5413805,7,30,4.0,2,0.066666667,1,0.365,5.875,78.5,23,28.57142857142857,5,3174762,10
81,1551,3189411,2,4,8,0,4894837,35,97,4.307563701,2,0.020618557,1,0.223055556,2.623,54.0,62,5.7142857142857135,33,3189411,2
82,1144,3195850,7,5,20,44,5016162,26,70,4.333333333,20,0.28571428600000004,1,4.2288888889999985,99.895,112.9,44,76.92307692307693,6,3195850,126
83,2763,3196540,2,1,10,52,4191915,4,14,5.0,2,0.14285714300000002,1,0.397777778,9.815,103.5,10,50.0,2,3196540,22
84,2372,3201165,1,2,9,50,5219924,6,7,5.0,5,0.7142857140000001,1,1.5475,28.292,118.6,1,83.33333333333334,1,3201165,29
85,1957,3203592,2,3,9,30,4628840,3,91,4.0,3,0.032967033,1,0.8613888890000001,17.475,121.6666667,88,100.0,0,3203592,5
86,2762,3207543,3,1,14,44,5063514,9,9,4.75,7,0.7777777779999999,1,1.996388889,38.424,112.4285714,0,77.7777777777778,2,3207543,26
87,2371,3212558,2,2,18,42,5366712,4,9,4.307563701,1,0.111111111,1,0.000555556,6.38,126.0,5,25.0,3,3212558,3
88,701,3218143,4,6,9,39,3906220,25,368,5.0,7,0.019021739,1,1.424166667,30.318,98.57142857,343,28.000000000000004,18,3218143,28
89,2761,3218204,4,1,16,47,4842633,2,6,5.0,2,0.333333333,1,0.568333333,10.587,109.5,4,100.0,0,3218204,4
90,700,3226970,1,6,9,19,3354199,45,107,4.214285714,28,0.261682243,1,5.592222222,113.372,93.42857143,62,62.22222222222222,17,3226970,70
91,1143,3227153,2,5,19,52,5100651,12,59,4.2,6,0.101694915,1,2.031388889,40.367,133.0,47,50.0,6,3227153,29
92,1956,3231684,5,3,19,19,4876178,14,26,4.0,3,0.115384615,1,2.174166667,12.574000000000002,97.66666667,12,21.428571428571427,11,3231684,22
93,291,3243390,5,7,9,38,5137831,110,336,4.315789474,38,0.113095238,1,8.759444444,140.077,88.76315789,226,34.54545454545455,72,3243390,163
94,699,3243415,1,6,9,31,4484351,53,385,4.333333333,24,0.062337662,1,3.978333333,71.163,74.95833333,332,45.283018867924525,29,3243415,135
95,1142,3252143,5,5,17,59,4725370,15,203,5.0,3,0.014778325,1,0.671388889,7.817,69.33333333,188,20.0,12,3252143,12
96,2760,3255380,1,1,11,40,3834388,2,3,5.0,2,0.666666667,1,0.7655555559999999,16.177,151.0,1,100.0,0,3255380,4
97,1141,3299607,1,5,13,50,3289170,11,74,5.0,2,0.027027027,1,0.982222222,17.292,159.5,63,18.181818181818183,9,3299607,16
98,1140,3321615,4,5,9,45,5180625,81,151,4.041666667,38,0.251655629,1,4.346388889,135.287,90.10526316,70,46.913580246913575,43,3321615,150
99,1139,3343921,2,5,10,13,4582319,48,88,4.0,28,0.318181818,1,9.480555556,160.531,118.25,40,58.33333333333334,20,3343921,103
100,2370,3346396,1,2,11,54,4197346,13,14,3.8,10,0.7142857140000001,1,2.8711111110000003,48.488,105.8,1,76.92307692307693,3,3346396,49
101,2369,3349614,3,2,10,49,5358327,3,29,4.307563701,1,0.034482759,1,0.000555556,5.877999999999999,118.0,26,33.33333333333333,2,3349614,1
102,1955,3353278,2,3,9,1,5043433,6,91,5.0,2,0.021978022000000003,1,0.576666667,13.16,129.0,85,33.33333333333333,4,3353278,10
103,290,3355215,3,7,13,19,3113303,37,147,4.214285714,25,0.17006802699999998,1,6.650277778,148.029,123.16,110,67.56756756756756,12,3355215,119
